"BOSTON CITY WEATHER SERVICE OFFICE, MA US (USW00094701)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1893-01-01,,38,25,0.20,0.1,0.0
1893-01-02,,53,,0.80,0.0,0.0
1893-01-03,,,18,0.00,0.0,0.0
1893-01-04,,22,6,0.00,0.0,0.0
1893-01-05,,29,16,0.20,3.0,3.0
1893-01-06,,22,10,0.50,4.5,8.0
1893-01-07,,25,11,0.00,0.0,7.0
1893-01-08,,22,7,0.00,0.0,5.0
1893-01-09,,30,6,0.16,2.3,8.0
1893-01-10,,33,7,0.26,2.0,9.0
1893-01-11,,13,-4,0.00,0.0,8.0
1893-01-12,,14,0,0.00,0.2,9.0
1893-01-13,,16,8,0.00,0.0,8.0
1893-01-14,,21,7,0.00,0.0,7.0
1893-01-15,,18,9,0.10,1.9,9.0
1893-01-16,,16,4,0.02,0.3,8.0
1893-01-17,,18,2,0.00,0.0,8.0
1893-01-18,,18,6,0.00,0.0,8.0
1893-01-19,,25,10,0.00,0.0,7.0
1893-01-20,,23,11,0.00,0.0,7.0
1893-01-21,,27,7,0.00,0.0,7.0
1893-01-22,,27,9,0.00,0.0,7.0
1893-01-23,,30,16,0.01,0.1,7.0
1893-01-24,,37,26,0.00,0.0,6.0
1893-01-25,,43,28,0.07,0.1,6.0
1893-01-26,,42,23,0.00,0.0,5.0
1893-01-27,,35,21,0.00,0.0,5.0
1893-01-28,,23,15,0.00,0.0,5.0
1893-01-29,,46,17,0.23,0.0,4.0
1893-01-30,,37,30,0.00,0.0,3.0
1893-01-31,,35,24,0.01,0.1,3.0
1893-02-01,,34,18,0.01,0.0,3.0
1893-02-02,,33,26,0.17,0.0,2.0
1893-02-03,,34,17,0.29,0.0,2.0
1893-02-04,,18,10,0.00,0.0,2.0
1893-02-05,,18,-1,0.00,0.0,2.0
1893-02-06,,48,12,0.15,0.3,1.0
1893-02-07,,48,24,0.20,0.0,0.0
1893-02-08,,24,8,0.00,0.0,0.0
1893-02-09,,37,14,0.00,0.0,0.0
1893-02-10,,52,29,0.92,0.0,0.0
1893-02-11,,39,,0.00,0.0,0.0
1893-02-12,,,25,0.00,0.0,0.0
1893-02-13,,33,30,1.13,5.0,3.0
1893-02-14,,44,31,0.28,0.2,3.0
1893-02-15,,53,38,0.00,0.0,1.0
1893-02-16,,41,,0.00,0.0,1.0
1893-02-17,,,8,0.00,0.0,1.0
1893-02-18,,25,17,0.87,10.2,11.0
1893-02-19,,30,14,0.04,0.5,11.0
1893-02-20,,34,10,0.24,3.0,11.0
1893-02-21,,26,3,0.00,0.0,10.0
1893-02-22,,38,18,1.40,9.0,15.0
1893-02-23,,34,21,0.00,0.0,14.0
1893-02-24,,33,19,0.18,2.5,16.0
1893-02-25,,38,15,0.15,2.4,17.0
1893-02-26,,35,24,0.15,1.6,16.0
1893-02-27,,35,18,0.00,0.0,13.0
1893-02-28,,34,18,0.04,0.6,13.0
1893-03-01,,41,30,0.30,2.4,14.0
1893-03-02,,33,25,0.00,0.0,14.0
1893-03-03,,37,18,0.00,0.0,14.0
1893-03-04,,31,,0.09,1.1,15.0
1893-03-05,,,13,0.00,0.0,15.0
1893-03-06,,32,14,0.00,0.0,15.0
1893-03-07,,45,26,0.00,0.0,11.0
1893-03-08,,48,28,0.00,0.0,8.0
1893-03-09,,42,36,1.21,0.0,7.0
1893-03-10,,36,34,0.05,0.0,6.0
1893-03-11,,37,34,0.00,0.0,5.0
1893-03-12,,47,35,0.21,0.0,2.0
1893-03-13,,53,38,0.00,0.0,0.0
1893-03-14,,50,35,0.00,0.0,0.0
1893-03-15,,41,22,0.78,0.0,0.0
1893-03-16,,27,13,0.00,0.0,0.0
1893-03-17,,38,17,0.00,0.0,0.0
1893-03-18,,38,26,0.00,0.0,0.0
