updated_species,range_description,range_description_reference,low_lat_limit,low_lat_lim_coords,low_lat_reference,high_lat_limit,high_lat_lim_coords,high_lat_reference,other_references
Leptodiaptomus minutus,Mid/Northern U.S to Iceland,"Torke, Byron. 2001. “The Distribution of Calanoid Copepods in the Plankton of Wisconsin Lakes.” Hydrobiologia 453 (1): 351–65. https://doi.org/10.1023/A:1013185916287.",North Carolina,,"Torke, Byron. 2001. “The Distribution of Calanoid Copepods in the Plankton of Wisconsin Lakes.” Hydrobiologia 453 (1): 351–65. https://doi.org/10.1023/A:1013185916287.",Iceland,,"Torke, Byron. 2001. “The Distribution of Calanoid Copepods in the Plankton of Wisconsin Lakes.” Hydrobiologia 453 (1): 351–65. https://doi.org/10.1023/A:1013185916287.","Samchyshyna, Larysa, Lars-Anders Hansson, and Kirsten Christoffersen. 2008. “Patterns in the Distribution of Arctic Freshwater Zooplankton Related to Glaciation History.” Polar Biology 31 (12): 1427–35. https://doi.org/10.1007/s00300-008-0482-4."
Onychodiaptomus sanguineus,Gulf Coast States to Canada,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.",Gulf Coast States,,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.",Canada (East to West Coast),,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.","https://www.glsc.usgs.gov/greatlakescopepods/Detail.php?GROUP=Calanoid&SPECIES=Onychodiaptomus%20sanguineus,“(PDF) Distribution and Zoogeography of Planktonic Crustaceans and Dipterans in Glaciated Eastern North-America.” n.d. ResearchGate. https://doi.org/10.1139/z80-188.
"
Aglaodiaptomus leptopus,Northnern U.S to Canada,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.",Oregon/Virginia,,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.",Canada (East to West Coast),,"Edmondson, W. T. 1959. Fresh-Water Biology. With George A. Smathers Libraries University of Florida. New York,: Wiley. http://archive.org/details/freshwaterbiolog00edmo.",“(PDF) Distribution and Zoogeography of Planktonic Crustaceans and Dipterans in Glaciated Eastern North-America.” n.d. ResearchGate. https://doi.org/10.1139/z80-188.
Aglaodiaptomus spatulocrenatus,,,,,,,,,
Onychodiaptomus birgei,,,,,,,,,
Skistodiaptomus pygmaeus,,,,,,,,,
Epischura nordenskiöldi,,,,,,,,,
Eurytemora hirundoides,,,,,,,,,
Eurytemora affinis,,,,,,,,,
Eurytemora lacustris,,,,,,,,,
Acartia tonsa,,,,,,,,,
Megacyclops viridis,,,,,,,,,
Diacyclops bicuspidatus ,,,,,,,,,
Microcyclops varicans,,,,,,,,,
Microcyclops bicolor,,,,,,,,,
Orthocyclops modestus,,,,,,,,,
Mesocyclops obsoletus,,,,,,,,,
Macrocyclops fuscus,,,,,,,,,
Macrocyclops albidus,,,,,,,,,
Macrocyclops albidus,,,,,,,,,
Eucyclops pectinifer,,,,,,,,,
Tropocyclops prasinus,,,,,,,,,
Paracyclops fimbriatus,,,,,,,,,
