site,region,subregion,description,lat,long,confidence,salinity,notes
Lower Cotuit Pond,Cape Cod,Barnstable,"Three-fourths of a mile long, one-fourth of a mile wide, rather deep and free from vegetation.",,,,fresh water,
Middle Cotuit Pond,Cape Cod,Barnstable,"Tliree-fourths of a mile long. one-fourth of a mile wide, rather shallow and full of vegetation.",,,,fresh water,
Upper Cotuit Pond,Cape Cod,Barnstable,"One mile long, half a mile  wide, deep and free from vegetation.",41.654402,-70.459579,medium,fresh water,Based on the dimensions of the lake
Chequaquet Lake (Great Pond (2)),Cape Cod,Barnstable,"Two miles long and two miles wide, deep and free from vegetation.",41.671603,-70.342772,medium,fresh water,
Lovells Pond,Cape Cod,Barnstable,"A circular pond a third of a mile in diameter and quite deep, with only a little vegetation.",41.648461,-70.441941,high,fresh water,
Long Pond (1),Cape Cod,Barnstable,"Three-quarters of a mile long, quarter of a mile wide, quite deep and free from vegetation.",41.667325,-70.444256,high,fresh water,"Newton Village, Barnstable"
Crescent Lake (Long Pond (2)),Cape Cod,Barnstable,"Half a mile long, quarter of a mile wide, deep and free from vegetation.",41.655812,-70.336402,high,fresh water,"Centerville, Barnstable"
Shallow Pond,Cape Cod,Barnstable,"East of Great Pond, triangular, half a mile across, shallow and choked with vegetation.",41.676082,-70.322485,medium,fresh water,
Long Pond (3),Cape Cod,Brewster,"Two and a half miles long, 1 mile wide, quite deep and free from vegetation.",41.725094,-70.064194,high,fresh water,
Seymour Pond (Bangs Pond),Cape Cod,Brewster,"Circular, half a mile in  diameter, quite deep and free from vegetation.",41.724364,-70.093116,high,fresh water,
Pleasant Lake (Hinckleys Pond),Cape Cod,Harwich,"Elliptical, half a milg in diameter, quite deep and free from vegetation.",41.713074,-70.089440,high,fresh water,
Round Pond,Cape Cod,Barnstable,rather small and full of all kinds of vegetation.,41.667794,-70.389451,medium,fresh water,In Barnstable east of Lower Cotuit Pond
Flax Pond (2),Cape Cod,Bourne,"quarter of a mile in diameter, and fairly clear of vegetation.",41.688794,-70.595206,medium,fresh water,between North Pocasset and South Pocasset
Red Brook Pond,Cape Cod,Bourne,"formed by a dam across Red Brook, shallow and filled with vegetation.",41.678009,-70.608638,high,fresh water,In Bourne at South Pocasset
Ashumet Pond,Cape Cod,Mashpee,"a mile long, half a mile wide, deep and clear.",41.633142,-70.533730,high,fresh water,In Mashpee west of John Pond
