species,updated_species,sites,notes
DIAPTOMUS MINUTUS ,Leptodiaptomus minutus,"Fresh Pond, John Pond, Mashpee Pond (Wakeby Pond), Chequaquet Lake (Great Pond (2)), Lovells Pond, Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond, Shallow Pond, Long Pond (1), Pleasant Lake (Hinckleys Pond), French Watering Place, West End Pond, Crescent Lake (Long Pond (2)), Seymour Pond (Bangs Pond), Oyster Pond, Browns Pond (Spectacle Pond), Jenkins Pond, Mares Pond, Long Pond (3)",
DIAPTOMUS SANGUINEUS ,Onychodiaptomus sanguineus,Ice Pond (2),
DIAPTOMUS LEPTOPUS ,Aglaodiaptomus leptopus,Pond in western outskirts of Edgartown,
DIAPTOMUS SPATULOCRENATUS ,Aglaodiaptomus spatulocrenatus,"Lily Pond (3), Oyster Pond, Mares Pond, Outlet Pond, John Pond, Flax Pond (2), Red Brook Pond",
DIAPTOMUS BIRGEI ,Onychodiaptomus birgei,"Crockers Pond, Lily Pond (2), Lily Pond (1), Flax Pond (1), Ice Pond (1)",
DIAPTOMUS OREGONENSIS,Skistodiaptomus pygmaeus,"Chequaquet Lake (Great Pond (2)), Bournes Pond, Crockers Pond, Ice Pond (1), Jenkins Pond, Jones Pond, Flax Pond (1), Browns Pond (Spectacle Pond), Sidleys Pond, Salt Pond, Shallow Pond, Seymour Pond (Bangs Pond), Long Pond (3), Pleasant Lake (Hinckleys Pond), Crescent Lake (Long Pond (2)), Mashpee Pond (Wakeby Pond)",Switched from oregonensis to pygmaeus based on the drawings of the male fifth leg
EPISCHURA NEVADENSIS,Epischura nordenskiöldi,"Lily Pond (3), Crockers Pond, pond beside State road, Ice Pond (1), Flax Pond (1), Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond, Long Pond (1), Chequaquet Lake (Great Pond (2)), West End Pond, French Watering Place, Flax Pond (2), Red Brook Pond, Clear Pond",Switched from nevadensis to nordskioldi based on the drawings of the male and female fifth leg
EURYTEMORA HIRUNDOIDES,Eurytemora hirundoides,"Salt Pond, Oyster Pond, Quissett Pond, Waquoit Bay, Edgartown Great Pond, West End Pond, French Watering Place, Upper Gosnold Pond, Lower Gosnold Pond, John Pond, Oak Bluffs Pond, Farm Pond, Poucha Pond, Tarpaulin Cove Pond, Brackish Pond (1), Brackish Pond (2)",
EURYTEMORA AFFINIS,Eurytemora affinis,Poucha Pond,
EURYTEMORA LACUSTRIS,Eurytemora lacustris,"Quissett Pond, Oyster Pond, John Pond, Brackish Pond (1), Poucha Pond, Upper Gosnold Pond, Farm Pond, Oak Bluffs Pond",
ACARTIA TONSA,Acartia tonsa,"Eel Pond, Great Pond (1), Green Pond, John Pond, the small pond at the head of the bay (Waquoit), Waquoit Bay, Oak Bluffs Pond, Farm Pond, Sengekontacket Pond, Nashaquitsa Pond, Edgartown Great Pond, two of the small ponds along the shore of Katama Bay, Upper Gosnold Pond, Lower Gosnold Pond, West End Pond, Chequaquet Lake (Great Pond (2)), Poucha Pond",
CYCLOPS VIRIDIS,Megacyclops viridis,"Salt Pond, Sidleys Pond, Oyster Pond, Flax Pond (1), Lily Pond (3), Ice Pond (2), a small pond near Chatham, Uncatena Pond, Pleasant Lake (Hinckleys Pond), Jones Pond, Tarpaulin Cove Pond, West End Pond",
CYCLOPS BICUSPIDATUS,Diacyclops bicuspidatus ,a pond in Woods Hole,
MICROCYCLOPS VARICANS,Microcyclops varicans,"three of the brackish ponds on Chappaquiddick Island, Poucha Pond, Quissett Pond, Crockers Pond, Farm Pond",
MICROCYCLOPS BICOLOR,Microcyclops bicolor,"Crockers Pond, Farm Pond, Weedy Pond",
ORTHOCYCLOPS MODESTUS,Orthocyclops modestus,Upper Gosnold Pond,
MESOCYCLOPS OBSOLETUS,Mesocyclops obsoletus,"Bournes Pond, two of the small ponds on the road from Woods Hole to Falmouth, Mill Pond, Lily Pond (1), Fresh Pond, Ice Pond (1), Crockers Pond, Jones Pond, East Falmouth Pond, Lily Pond (3), Bournes Pond, Browns Pond (Spectacle Pond), Jenkins Pond, Mares Pond, Flax Pond (2), Red Brook Pond, Santuit Pond, John Pond, Ashumet Pond, Shallow Pond, Crescent Lake (Long Pond (2)), Long Pond (1), Lovells Pond, Chequaquet Lake (Great Pond (2)), Upper Cotuit Pond, Middle Cotuit Pond, Lower Cotuit Pond, Flax Pond (3), Scargo Lake, Pleasant Lake (Hinckleys Pond), Long Pond (3), Seymour Pond (Bangs Pond), Tarpaulin Cove Pond, French Watering Place, Marys Lake, West End Pond, Edgartown Great Pond, Pond in western outskirts of Edgartown",
MACROCYLOPS FUSCUS,Macrocyclops fuscus,"Outlet Pond, Jones Pond, Rams Head Pond",
MACROCYCLOPS ALBIDUS,Macrocyclops albidus,"Mill Pond, Salt Pond, Oyster Pond, Sidleys Pond, Little Pond, Outlet Pond, two small ponds on the main road west of Chatham, Rams Head Pond",
MACROCYCLOPS BISTRIATUS,Macrocyclops albidus,"Outlet Pond, Ice Pond (1), Crockers Pond",Likely Macrocyclops albidus; https://winvertebrates.uwsp.edu/30513.html
EUCYCLOPS AGILIS,Eucyclops pectinifer,"Mill Pond, Lily Pond (1), Fresh Pond, Lower Cotuit Pond, Middle Cotuit Pond, Upper Cotuit Pond, Chequaquet Lake (Great Pond (2)), Lovells Pond, Long Pond (1), Crescent Lake (Long Pond (2)), Shallow Pond, Long Pond (3), Seymour Pond (Bangs Pond), Pleasant Lake (Hinckleys Pond), Round Pond, Flax Pond (2), Red Brook Pond, Ashumet Pond, John Pond, Outlet Pond, Mashpee Pond (Wakeby Pond), Santuit Pond, Scargo Lake, Flax Pond (3), Clear Pond, Weedy Pond, a small pond near Chatham, two small ponds on the main road west of Chatham, Edgartown Great Pond, Rams Head Pond, Uncatena Pond, Marys Lake, Pond near lighthouse at Tarpaulin Cove, Pond near the beach north of the wharf at Tarpaulin Cove, French Watering Place, West End Pond, East End Pond, Pond at southern end of Penikese Island, Ice Pond (2), Upper Gosnold Pond, Tarpaulin Cove Pond",Eucyclops pectinifer; https://cfb.unh.edu/cfbkey/html/Organisms/CCopepoda/OCyclopoida/GEucyclops/Eucyclops_agilis/eucyclopsagilis.html
EUCYCLOPS PRASINUS,Tropocyclops prasinus,"Outlet Pond, Chequaquet Lake (Great Pond (2)), small pond near Edgartown, Rams Head Pond",Likely been revised to Tropocyclops prasinus prasinus
PARACYCLOPS FIMBRIATUS,Paracyclops fimbriatus,"Upper Gosnold Pond, Rams Head Pond",May need to break down to subspecies level (Paracyclops fimbriatus fimbriatus)
,,,
